Small network of reactions H,D,T,He3,He4,Be7,Li7 09/05/2018 updated
!==================================================================================
! T9 grid = CF88 = NACRE = ...
! 1ere ligne : *- ..... = code de la reaction
! 2eme ligne : *% ..... = reference
! 3eme ligne :    Q, rev ratio : ca*T9**ce*exp(cb/T9) 
! ligne 4 a 63 : t9, exp(mu), exp(sigma) commencent par '  ' !!
! exp(mu) = sqrt(svh*svl), exp(sigma) = sqrt(svh/svl) calacule par bru2cdg.f 
!==================================================================================
*- n + p > d + g ;
*%And06
! Ando et al. PRC 74 (2006) 025809 A. Coc 12/09/06 -> 20/07/07  
! Calcule avec npg_sv.f dans /Users/acoc/phys/netw2010
   2.22457 4.71614e+09 1.5 -25.815 
    7.0000    4.194E+03    1.044E+00
    8.0000    4.812E+03    1.046E+00
    9.0000    5.410E+03    1.047E+00
   10.0000    5.988E+03    1.049E+00
#%Deut2016
# Deut2016 = Deut2015 but with integration starting at 0 keV 
# 5.493 1.6349E+10 1.5 -63.7518
#     0.001    1.4048E-11    1.0379E+00
#     0.002    1.9167E-08    1.0379E+00
#     0.003    6.1807E-07    1.0379E+00
#     0.004    5.4625E-06    1.0379E+00
#     0.005    2.5557E-05    1.0379E+00
#     0.006    8.2553E-05    1.0379E+00
#     0.007    2.0995E-04    1.0379E+00
#     0.008    4.5253E-04    1.0379E+00
#     0.009    8.6485E-04    1.0379E+00
#     0.010    1.5092E-03    1.0379E+00
#     0.011    2.4538E-03    1.0379E+00
#     0.012    3.7707E-03    1.0379E+00
#     0.013    5.5341E-03    1.0379E+00
#     0.014    7.8194E-03    1.0379E+00
#     0.015    1.0702E-02    1.0379E+00
#     0.016    1.4255E-02    1.0379E+00
#     0.018    2.3663E-02    1.0379E+00
#     0.020    3.6594E-02    1.0379E+00
#     0.025    8.7534E-02    1.0379E+00
#     0.030    1.7009E-01    1.0379E+00
#     0.040    4.4764E-01    1.0379E+00
#     0.050    8.9150E-01    1.0379E+00
#     0.060    1.5096E+00    1.0379E+00
#     0.070    2.3020E+00    1.0379E+00
#     0.080    3.2647E+00    1.0379E+00
#     0.090    4.3916E+00    1.0379E+00
#     0.100    5.6755E+00    1.0379E+00
#     0.110    7.1091E+00    1.0379E+00
#     0.120    8.6851E+00    1.0379E+00
#     0.130    1.0397E+01    1.0379E+00
#     0.140    1.2237E+01    1.0379E+00
#     0.150    1.4199E+01    1.0379E+00
#     0.160    1.6278E+01    1.0379E+00
#     0.180    2.0762E+01    1.0379E+00
#     0.200    2.5650E+01    1.0379E+00
#     0.250    3.9414E+01    1.0379E+00
#     0.300    5.5054E+01    1.0379E+00
#     0.350    7.2248E+01    1.0379E+00
#     0.400    9.0756E+01    1.0379E+00
#     0.450    1.1039E+02    1.0379E+00
#     0.500    1.3101E+02    1.0379E+00
#     0.600    1.7475E+02    1.0379E+00
#     0.700    2.2125E+02    1.0379E+00
#     0.800    2.7001E+02    1.0379E+00
#     0.900    3.2066E+02    1.0379E+00
#     1.000    3.7293E+02    1.0379E+00
#     1.250    5.0932E+02    1.0379E+00
#     1.500    6.5216E+02    1.0379E+00
#     1.750    7.9996E+02    1.0379E+00
#     2.000    9.5173E+02    1.0379E+00
#     2.500    1.2646E+03    1.0379E+00
#     3.000    1.5864E+03    1.0381E+00
